Time,Data
0.071 sec,41.441266577287
0.072 sec,41.5243934410038
0.073 sec,41.0670534274286
0.074 sec,42.1043252937085
0.075 sec,40.3470259478939
0.076 sec,38.1478955034237
0.077 sec,36.8962947277304
0.078 sec,35.003365136722
0.079 sec,31.906785618992
0.08 sec,40.6141921753185
0.081 sec,40.0238747360936
0.082 sec,40.3594300699985
0.083 sec,38.5050626902599
0.084 sec,37.3225588462651
0.085 sec,34.8851492547236
0.086 sec,33.6249221809489
0.087 sec,32.8617487464956
0.088 sec,34.5579122788122
0.089 sec,36.1173233686512
0.09 sec,38.1364246979983
0.091 sec,38.6179481959269
0.092 sec,41.5050723306814
0.093 sec,41.1542239261117
0.094 sec,40.6350897505821
0.095 sec,37.8750562528534
0.096 sec,39.3800138936917
0.097 sec,38.3252388452
0.098 sec,37.7219296404142
0.099 sec,36.6555355174283
0.1 sec,33.0019340217851
0.101 sec,29.0409669153846
0.102 sec,41.2031386761617
0.103 sec,39.0075649603315
0.104 sec,37.2868052615504
0.105 sec,36.5523766634677
0.106 sec,35.3988104478825
0.107 sec,33.9797055953483
0.108 sec,31.352498287792
0.109 sec,36.3112048270618
0.11 sec,35.5345451742581
0.111 sec,38.3815778704774
0.112 sec,39.599933804919
0.113 sec,40.8068336373326
0.114 sec,41.0874676173191
0.115 sec,40.5271117694614
0.116 sec,42.9384777265825
0.117 sec,39.1246780803847
0.118 sec,39.2713481884503
0.119 sec,38.9086444997879
0.12 sec,35.0507593950679
0.121 sec,32.0136729551756
0.122 sec,40.666924472642
0.123 sec,42.070139083193
0.124 sec,39.9131717357817
0.125 sec,41.0281767790721
0.126 sec,36.9089256975278
0.127 sec,34.7954627853273
0.128 sec,31.5811023944417
0.129 sec,30.9388623328238
0.13 sec,34.9620558217397
0.131 sec,39.2098899384085
0.132 sec,37.4949466656944
0.133 sec,39.8220804725752
0.134 sec,42.1724964873512
0.135 sec,40.8617648441156
0.136 sec,43.3060691550837
0.137 sec,41.3399029421077
0.138 sec,39.6106726388188
0.139 sec,38.7684285084695
0.14 sec,38.0252087215655
0.141 sec,35.7454196237682
0.142 sec,39.7197811460167
0.143 sec,42.9233774841047
0.144 sec,41.0456914381242
0.145 sec,40.1070972654212
0.146 sec,38.5621399146241
0.147 sec,37.3417130134752
0.148 sec,35.8920773057623
0.149 sec,33.6669344850636
0.15 sec,32.8783988376473
0.151 sec,33.8244743347838
0.152 sec,37.8322904953175
0.153 sec,37.4649478188163
0.154 sec,40.0677714217524
0.155 sec,41.0173919986059
0.156 sec,42.6292115560493
0.157 sec,42.5076608229737
0.158 sec,41.9979002395741
0.159 sec,40.2373096301763
0.16 sec,37.6336347316323
0.161 sec,38.0395146056687
0.162 sec,35.337418234551
0.163 sec,32.6634565782009
0.164 sec,28.4578847396162
0.165 sec,40.9362224516818
0.166 sec,39.9708405741397
0.167 sec,38.8042609601411
0.168 sec,37.2428486746767
0.169 sec,35.4446787234325
0.17 sec,31.6890046130564
0.171 sec,33.920968838384
0.172 sec,35.5536327257638
0.173 sec,38.1456582325079
0.174 sec,38.3297758049049
0.175 sec,40.1332433446918
0.176 sec,42.0714617166637
0.177 sec,41.8394193811669
0.178 sec,41.348334243505
0.179 sec,41.2466401126608
0.18 sec,42.110609543611
0.181 sec,38.4135851243678
0.182 sec,37.3504297997792
0.183 sec,34.9530811623056
0.184 sec,40.6519920490171
0.185 sec,41.8498105279764
0.186 sec,42.1820532144707
0.187 sec,38.8678983614875
0.188 sec,39.8911535873594
0.189 sec,37.715216568777
0.19 sec,33.0448236039387
0.191 sec,31.4777989840004
0.192 sec,34.3616573257979
0.193 sec,34.77578093058
0.194 sec,39.1969672959259
0.195 sec,40.7785003312918
0.196 sec,40.7498098601362
0.197 sec,39.6622477840964
0.198 sec,43.1419740392475
0.199 sec,41.6946358351029
0.2 sec,42.0301816118342
0.201 sec,40.6722533034893
0.202 sec,38.670984080922
0.203 sec,37.8607836931965
0.204 sec,33.5687574745747
0.205 sec,38.5011359573721
0.206 sec,41.1860109984108
0.207 sec,41.2981290507099
0.208 sec,39.7311963116376
0.209 sec,38.7765020804804
0.21 sec,36.7922994885937
0.211 sec,32.9173624849974
0.212 sec,33.4246986513262
0.213 sec,34.6804045452363
0.214 sec,33.177201362899
0.215 sec,39.1591130330802
0.216 sec,38.1846405431708
0.217 sec,39.1108523210675
0.218 sec,41.2026143916707
0.219 sec,41.3100521913001
0.22 sec,39.3899317104562
0.221 sec,41.6732618555441
0.222 sec,38.9839738850821
0.223 sec,37.2818690466019
0.224 sec,36.3242828346087
0.225 sec,32.8287326187517
0.226 sec,32.2873902158555
0.227 sec,27.2300761603079
0.228 sec,40.2804266530866
0.229 sec,40.0293995958967
0.23 sec,37.3279618449955
0.231 sec,36.0506215558149
0.232 sec,36.8036495760601
0.233 sec,33.5778777026663
0.234 sec,34.5537227833733
0.235 sec,37.1289115507704
0.236 sec,37.7868148412855
0.237 sec,40.4450780092284
0.238 sec,41.6219634838929
0.239 sec,40.131879839107
0.24 sec,42.0898192405611
0.241 sec,41.3714134553022
0.242 sec,41.1285165990374
0.243 sec,39.2053518259048
0.244 sec,40.2866316821963
0.245 sec,36.2895821931335
0.246 sec,34.3446055644621
0.247 sec,41.0712289787577
